idx,text,tokens,labels
0,人气重磅拼盘,"['人气', '重磅', '拼盘']",['其他|其他|形式']
1,白桃沁雪,"['白桃', '沁雪']",['其他|其他']
2,牛油果,"['牛油', '果']",['工艺|材料']
3,去云南玫瑰普洱,"['去', '云南', '玫瑰', '普洱']",['其他|地名|材料|形式']
4,金砖鹅肝,"['金砖', '鹅肝']",['品牌|材料']
5,草莓麻薯乌龙,"['草莓', '麻薯', '乌龙']",['材料|材料|其他']
6,仔姜肉丝,"['仔姜', '肉丝']",['材料|材料']
7,牛肉烩面,"['牛肉', '烩面']",['材料|形式']
8,野菜包子,"['野菜', '包子']",['材料|形式']
9,真牛牛肉串,"['真牛', '牛肉串']",['品牌|材料']
10,牛肉小串,"['牛肉', '小串']",['材料|形式']
11,番茄鸡蛋刀削面,"['番茄', '鸡蛋', '刀削面']",['材料|材料|形式']
12,金针菇,['金针菇'],['材料']
13,牛舌饼,"['牛舌', '饼']",['材料|形式']
14,肉桂卷,"['肉桂', '卷']",['材料|形式']
15,真的多水果桶,"['真的', '多', '水果', '桶']",['其他|其他|材料|形式']
16,安格斯甄选培根厚牛堡,"['安格斯', '甄选', '培根', '厚牛堡']",['其他|其他|材料|形式']
17,大窑,"['大', '窑']",['工艺|形式']
18,酱香鸭脖,"['酱香', '鸭脖']",['风味|材料']
19,韭菜鸡蛋馅饼,"['韭菜', '鸡蛋', '馅饼']",['材料|材料|形式']
20,烤牛筋,"['烤', '牛筋']",['烤|牛筋的分类是：工艺|材料。']
21,红茶玛奇朵,"['红茶', '玛奇朵']",['材料|形式']
22,凉拌萝卜丝,"['凉拌', '萝卜丝']",['工艺|材料']
23,大盆花菜,"['大盆', '花菜']",['工艺|材料']
24,牛肉包,"['牛肉', '包']",['材料|形式']
25,生腌血蛤,"['生腌', '血蛤']",['工艺|材料']
26,爽口海带丝,"['爽口', '海带丝']",['工艺|材料']
27,鸭肉串,"['鸭肉', '串']",['材料|形式']
28,冰滴,['冰滴'],['其他']
29,鸡蛋羹,"['鸡蛋', '羹']",['材料|形式']
30,清炒土豆丝,"['清炒', '土豆丝']",['工艺|材料']
31,牛肉米线,"['牛肉', '米线']",['材料|形式']
32,毛豆肉丝,"['毛豆', '肉丝']",['材料|材料']
33,火锅裙带菜,"['火锅', '裙带菜']",['工艺|材料']
34,特色鸡爪,"['特色', '鸡爪']",['其他|材料']
35,小奶茉,"['小', '奶', '茉']",['其他|其他|其他']
36,桂花糕,"['桂花', '糕']",['风味|形式']
37,蒜蓉花甲,"['蒜蓉', '花甲']",['风味|材料']
38,牛肉宽粉,"['牛肉', '宽粉']",['材料|材料']
39,芒果白桃乌龙奶茶,"['芒果', '白桃', '乌龙', '奶茶']",['材料|材料|材料|形式']
