idx,text,tokens
0,人气重磅拼盘,['人气|重磅|拼盘']
1,白桃沁雪,['白桃|沁雪']
2,牛油果,['牛油|果']
3,去云南玫瑰普洱,['去|云南|玫瑰|普洱']
4,金砖鹅肝,['金砖|鹅肝']
5,草莓麻薯乌龙,['草莓|麻薯|乌龙']
6,仔姜肉丝,['仔姜|肉丝']
7,牛肉烩面,['牛肉|烩面']
8,野菜包子,['野菜|包子']
9,真牛牛肉串,['真牛|牛肉串']
10,牛肉小串,['牛肉|小串']
11,番茄鸡蛋刀削面,['番茄|鸡蛋|刀削面']
12,金针菇,['金针菇']
13,牛舌饼,['牛舌|饼']
14,肉桂卷,['肉桂|卷']
15,真的多水果桶,['真的|多|水果|桶']
16,安格斯甄选培根厚牛堡,['安格斯|甄选|培根|厚牛堡']
17,大窑,['大|窑']
18,酱香鸭脖,['酱香|鸭脖']
19,韭菜鸡蛋馅饼,['韭菜|鸡蛋|馅饼']
20,烤牛筋,['烤|牛筋']
21,红茶玛奇朵,['红茶|玛奇朵']
22,凉拌萝卜丝,['凉拌|萝卜丝']
23,大盆花菜,['大盆|花菜']
24,牛肉包,['牛肉|包']
25,生腌血蛤,['生腌|血蛤']
26,爽口海带丝,['爽口|海带丝']
27,鸭肉串,['鸭肉|串']
28,冰滴,['冰滴']
29,鸡蛋羹,['鸡蛋|羹']
30,清炒土豆丝,['清炒|土豆丝']
31,牛肉米线,['牛肉|米线']
32,毛豆肉丝,['毛豆|肉丝']
33,火锅裙带菜,['火锅|裙带菜']
34,特色鸡爪,['特色|鸡爪']
35,小奶茉,['小|奶|茉']
36,桂花糕,['桂花|糕']
37,蒜蓉花甲,['蒜蓉|花甲']
38,牛肉宽粉,['牛肉|宽粉']
39,芒果白桃乌龙奶茶,['芒果|白桃|乌龙|奶茶']
40,茉莉蜜茶,['茉莉|蜜茶']
41,蜜桃甘露,['蜜桃|甘露']
42,羊杂米粉,['羊|杂|米|粉']
43,豆角茄子,['豆角|茄子']
44,黑芝麻包,['黑芝麻|包']
45,鲜虾片,['鲜虾|片']
46,雪红果,['雪红|果']
47,北冰洋,['北冰洋']
48,白切鸭饭,['白切|鸭饭']
49,红烧牛肉饭,['红烧|牛肉|饭']
50,兰花干子,['兰花|干子']
51,招牌鸭心,['招牌|鸭心']
52,鲜虾堡,['鲜虾|堡']
53,椰椰冰萃,['椰椰|冰萃']
54,汤团,['汤团']
55,杂粮馒头,['杂粮|馒头']
56,大鱿鱼串,['大|鱿鱼|串']
57,现烤蛋挞,['现烤|蛋挞']
58,青椒鸡,['青椒|鸡']
59,葱爆羊肉盖浇面,['葱爆|羊肉|盖浇面']
60,牛肉火勺,['牛肉|火勺']
61,王中王,['王中王']
62,蒜蓉虾,['蒜蓉|虾']
63,新疆手抓饭,['新疆|手抓饭']
64,卤豆皮,['卤|豆皮']
65,生烤鸡头,['生烤|鸡头']
66,原味可颂,['原味|可颂']
67,杂鱼一锅鲜,['杂鱼|一锅鲜']
68,椰子鸡,['椰子|鸡']
69,鲅鱼,['鲅|鱼']
70,酱汁臭豆腐,['酱汁|臭豆腐']
71,真梅醉绿茶,['真梅|醉绿|茶']
72,炝莲白,['炝|莲白']
73,培根煎蛋堡,['培根|煎蛋|堡']
74,松仁小肚,['松仁|小肚']
75,火腿三明治,['火腿|三明治']
76,桑葚,['桑葚']
77,鸡脖子,['鸡|脖子']
78,牛奶鸭血,['牛奶|鸭血']
79,拌三丝,['拌|三丝']
80,牛油果椰椰,['牛油果|椰椰']
81,直播虾球尝鲜装,['直播|虾球|尝鲜装']
82,洋葱,['洋葱|']
83,菠萝炒饭,['菠萝|炒饭']
84,碟鱼头,['碟|鱼头']
85,超级芝士脆,['超级|芝士|脆']
86,香酥鸡翅根,['香酥|鸡翅根']
87,大薯,['大薯']
88,番茄沙司,['番茄|沙司']
89,银鱼炒蛋,['银鱼|炒蛋']
90,卤鸭架,['卤|鸭架']
91,里脊肉饼,['里脊|肉饼']
92,杂酱米线,['杂酱|米线']
93,打糕,['打糕']
94,广东菜心,['广|东|菜|心']
95,云南生椰拿铁,['云南|生椰|拿铁']
96,鸡蛋捞面,['鸡蛋|捞面']
97,香辣跳跳蛙,['香辣|跳跳蛙']
98,山城毛血旺,['山城|毛血旺']
99,大葱猪肉,['大葱|猪肉']
100,烤豆角,['烤|豆角']
101,蜜汁排骨,['蜜汁|排骨']
102,鸡蛋肠粉,['鸡蛋|肠粉']
103,老汤面,['老汤|面']
104,鲜切马尾,['鲜切|马尾']
105,偶遇酒,['偶遇|酒']
106,海虾,['海|虾']
107,冷萃咖啡,['冷萃|咖啡']
108,浆水面,['浆水|面']
109,宝石葡萄燕麦奶昔,['宝石|葡萄|燕麦|奶昔']
110,肉沫米粉,['肉沫|米粉']
111,招牌锅贴,['招牌|锅贴']
112,牛肉烧饼,['牛肉|烧饼']
113,牛里脊,['牛|里脊']
114,手撕椒麻鸡,['手撕|椒麻|鸡']
115,香辣烤鱼,['香辣|烤鱼']
116,饺子皮,['饺子|皮']
117,蔬菜汤,['蔬菜|汤']
118,爆一脖鸭架,['爆一脖|鸭架']
119,偷心西梅拿铁,['偷心|西梅|拿铁']
120,生日蛋糕,['生日|蛋糕']
121,白菜鲜肉水饺,['白菜|鲜肉|水饺']
122,拌米粉,['拌|米粉']
123,红心火龙果,['红心|火龙果']
124,星巴克黑糖冰震浓缩,['星巴克|黑糖|冰震|浓缩']
125,时菜,['时|菜']
126,星空葡萄,['星空|葡萄']
127,秘制猪蹄,['秘制|猪蹄']
128,巧克力千层,['巧克力|千层']
129,凉拌豆腐皮,['凉拌|豆腐皮']
130,云岭茉莉白,['云岭|茉莉白']
131,宇治抹茶,['宇治|抹茶']
132,铁板鸭肠,['铁板|鸭肠']
133,雪花芝士炸鸡,['雪花|芝士|炸鸡']
134,芋圆烧仙草,['芋圆|烧仙草']
135,牛腩,['牛腩']
136,三文鱼鱼腩,['三文鱼|鱼腩']
137,特色酸辣粉,['特色|酸辣粉']
138,鸭胸肉,['鸭胸肉']
139,鲜烤羊肉串,['鲜烤|羊肉串']
140,蒜苔炒肉丝,['蒜苔|炒|肉丝']
141,老醋六样,['老醋|六样']
142,招牌柠檬水,['招牌|柠檬水']
143,提拉米苏风味大福,['提拉米苏|风味|大福']
144,咸鸡,['咸|鸡']
145,甘源蜂蜜琥珀核桃仁,['甘源|蜂蜜|琥珀|核桃仁']
146,凉拌秋葵,['凉拌|秋葵']
147,肉肠粉,['肉|肠粉']
148,草原羔羊肉,['草原|羔羊|肉']
149,锅圈食汇乌鸡肉卷,['锅圈|食汇|乌鸡|肉卷']
150,虾球,['虾球']
151,清蒸鲫鱼,['清蒸|鲫鱼']
152,葡萄肉多多,['葡萄|肉多多']
153,醋肉,['醋|肉']
154,炸辣椒,['炸|辣椒']
155,花枝丸子,['花枝|丸子']
156,烤牛蛙,['烤|牛蛙']
157,鱿鱼花,['鱿鱼|花']
158,枸杞猪杂汤,['枸杞|猪杂|汤']
159,日式小圆饼,['日式|小圆饼']
160,炒番薯叶,['炒|番薯叶']
161,扣肉饭,['扣肉|饭']
162,鲜肉生煎,['鲜肉|生煎']
163,原味牛肉,['原味|牛肉']
164,山楂片,['山楂|片']
165,欧式培根,['欧式|培根']
166,米麻薯乌龙奶,['米麻薯|乌龙奶']
167,吮指原味鸡套ok餐,['吮指|原味|鸡套|ok|餐']
168,牛蹄,['牛蹄']
169,两堡一卷,['两|堡|一|卷']
170,烧味拼盘,['烧味|拼盘']
171,午餐肉,['午餐|肉']
172,鸭胗片,['鸭胗|片']
173,酸辣土豆丝盖浇饭,['酸辣|土豆丝|盖浇饭']
174,铁板日本豆腐,['铁板|日本|豆腐']
175,牛肉汉堡,['牛肉|汉堡']
176,五香酱牛肉,['五香|酱牛肉']
177,关东煮,['关东|煮']
178,煎饺,['煎|饺']
179,满杯鲜柚,['满杯|鲜柚']
180,甜烧白,['甜烧白']
181,五花肉串,['五花肉|串']
182,枣花酥,['枣花|酥']
183,干豆皮,['干|豆皮']
184,鸡排大亨,['鸡排|大亨']
185,清炒菜苔,['清炒|菜苔']
186,白切鸭,['白切|鸭']
187,刺身,['刺身']
188,肉夹馍,['肉夹|馍']
189,特浓豆浆,['特浓|豆浆']
190,抹茶,['抹茶']
191,牛宝,['牛|宝']
192,金桂龙井冰冰茶,['金桂|龙井|冰冰茶']
193,双椒兔,['双|椒|兔']
194,香辣面,['香辣|面']
195,菜花,['菜花']
196,屠宰场鲜毛肚,['屠宰场|鲜毛肚']
197,人参鸡汤,['人参|鸡汤']
198,豆腐泡,['豆腐|泡']
